label,label_id,text,text_lower
Business,0,"Rogers Wireless to buy Canadian rival Microcell NEW YORK -- Rogers Wireless Communications Inc. said yesterday it has agreed to acquire rival Canadian cellphone carrier Microcell Telecommunications Inc. , which had been fending off a hostile suitor.","rogers wireless to buy canadian rival microcell new york -- rogers wireless communications inc. said yesterday it has agreed to acquire rival canadian cellphone carrier microcell telecommunications inc. , which had been fending off a hostile suitor."
Business,0,"Winery at a crossroads Once the crown jewel of the Napa Valley, the Robert Mondavi name is on the auction block and its future is uncertain. Robert Mondavi, 91, who more than any other person put premium California wine on the map","winery at a crossroads once the crown jewel of the napa valley, the robert mondavi name is on the auction block and its future is uncertain. robert mondavi, 91, who more than any other person put premium california wine on the map"
Business,0,"Stretching out Jonathan Neal, 24, bought a \$400,000 condo in Northwest this past summer, while high housing prices have forced many of his friends to live with their parents.","stretching out jonathan neal, 24, bought a \$400,000 condo in northwest this past summer, while high housing prices have forced many of his friends to live with their parents."
Business,0,"Business Briefs NEW YORK -- Stocks were mixed in quiet trading Monday, with blue chip and tech shares rising only modestly despite lower oil prices and several mergers and acquisitions, including Wm.","business briefs new york -- stocks were mixed in quiet trading monday, with blue chip and tech shares rising only modestly despite lower oil prices and several mergers and acquisitions, including wm."
Business,0,"Stocks Seen Stymied by Oil, Earns NEW YORK (Reuters) - Record crude oil prices, a tidal wave of quarterly earnings reports and anxiety ahead of the U.S. presidential election may pin U.S. stocks down next week.","stocks seen stymied by oil, earns new york (reuters) - record crude oil prices, a tidal wave of quarterly earnings reports and anxiety ahead of the u.s. presidential election may pin u.s. stocks down next week."
Business,0,FOCUS: N America Shares Vital In S Africa Gold Battle JOHANNESBURG (Dow Jones)--North American shareholders will play a decisive role in the outcome of the bitter takeover battle between South African gold giants Harmony Gold Mining Co.,focus: n america shares vital in s africa gold battle johannesburg (dow jones)--north american shareholders will play a decisive role in the outcome of the bitter takeover battle between south african gold giants harmony gold mining co.
Business,0,"British manufacturing output falls for third successive month (AFP) AFP - Britain's manufacturing industries experienced an unexpected drop in output in August, the first time since January 2002 that output has fallen for three months in a row.","british manufacturing output falls for third successive month (afp) afp - britain's manufacturing industries experienced an unexpected drop in output in august, the first time since january 2002 that output has fallen for three months in a row."
Business,0,"Mobile phones to get TV reception I was pretty amazed to see 3D graphics coming to mobile phones, and now it looks like TV is coming to them too! Texas Instruments has started work on a chip that","mobile phones to get tv reception i was pretty amazed to see 3d graphics coming to mobile phones, and now it looks like tv is coming to them too! texas instruments has started work on a chip that"
Business,0,"IMF Board Tells Argentina to Tackle Debt, Reforms The International Monetary Fund #39;s shareholder governments told Argentina in a meeting on Friday to live up to its promises in a \$13 billion loan program to tackle","imf board tells argentina to tackle debt, reforms the international monetary fund #39;s shareholder governments told argentina in a meeting on friday to live up to its promises in a \$13 billion loan program to tackle"
Business,0,"Index funds adjust fees to lure customers Despite perceptions to the contrary, index mutual funds really aren #39;t all alike. They don #39;t all invest in the same stocks or bonds, and they certainly don #39;t all come with the same low expenses.","index funds adjust fees to lure customers despite perceptions to the contrary, index mutual funds really aren #39;t all alike. they don #39;t all invest in the same stocks or bonds, and they certainly don #39;t all come with the same low expenses."
Sci/Tech,1,"Analyst Sees Cingular Awarding Deal Soon (Reuters) Reuters - Prudential Equity Group on Friday\said Cingular Wireless has made a decision on which vendors it\will use for the deployment of its next-generation wireless\network, with Ericsson (ERICb.ST) and Lucent Technologies Inc.\ likely the biggest beneficiaries.","analyst sees cingular awarding deal soon (reuters) reuters - prudential equity group on friday\said cingular wireless has made a decision on which vendors it\will use for the deployment of its next-generation wireless\network, with ericsson (ericb.st) and lucent technologies inc.\ likely the biggest beneficiaries."
Sci/Tech,1,"Climax Lifts The Lid On Avalon TVG first brought you word about Project Avalon close to a year ago, when the first details of the next-gen title currently in development at Climax Brighton Studio first became apparent.","climax lifts the lid on avalon tvg first brought you word about project avalon close to a year ago, when the first details of the next-gen title currently in development at climax brighton studio first became apparent."
